SMILES,PMF
CC(C)(C)CCOCCOCCOCCO,27.350392
CC(C)(C)CC1=CC=C(C=C1)OCCO,24.662165
CC(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,43.576682
CC(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,50.347666
CC(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,41.645473
CCCCCCOCCOCCOCCO,27.367574
CCCCCC1=CC=C(C=C1)OCCO,33.052967
CCCCCCOC1C(C(C(C(O1)CO)O)O)O,23.444089
CCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,54.065311
CCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,66.006708
CCC(C)CCOCCOCCOCCO,24.689867
CCC(C)CC1=CC=C(C=C1)OCCO,30.259426
CCC(C)CCOC1C(C(C(C(O1)CO)O)O)O,57.638754
CCC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,50.083675
CCC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,68.613102
CCC(C)(C)CCOCCOCCOCCO,26.744776
CCC(C)(C)CC1=CC=C(C=C1)OCCO,20.869284
CCC(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,42.974742
CCC(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,58.787127
CCC(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,49.577067
CCCCCCCOCCOCCOCCO,25.059271
CCCCCCC1=CC=C(C=C1)OCCO,24.727557
CCCCCCCOC1C(C(C(C(O1)CO)O)O)O,42.395743
CCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,52.089907
CCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,71.053524
CCC(C)CCCOCCOCCOCCO,21.92933
CCC(C)CCC1=CC=C(C=C1)OCCO,27.441629
CCC(C)CCCOC1C(C(C(C(O1)CO)O)O)O,26.342113
CCC(C)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,44.815832
CCC(C)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,50.914882
CCCC(C)CCOCCOCCOCCO,29.063565
CCCC(C)CC1=CC=C(C=C1)OCCO,26.953701
CCCC(C)CCOC1C(C(C(C(O1)CO)O)O)O,50.812295
CCCC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,55.699875
CCCC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,48.362357
CC(C)C(C)CCOCCOCCOCCO,32.147145
CC(C)C(C)CC1=CC=C(C=C1)OCCO,43.832743
CC(C)C(C)CCOC1C(C(C(C(O1)CO)O)O)O,37.173377
CC(C)C(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,52.676865
CC(C)C(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,49.366896
CCC(C)(C)CCCOCCOCCOCCO,27.820325
CCC(C)(C)CCC1=CC=C(C=C1)OCCO,34.635663
