SMILES,PMF
CC(C)(C)CCOCCOCCOCCO,27.350392
CC(C)(C)CC1=CC=C(C=C1)OCCO,24.662165
CC(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,43.576682
CC(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,50.347666
CC(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,56.27034091086914
CCCCCCOCCOCCOCCO,27.367574
CCCCCC1=CC=C(C=C1)OCCO,33.052967
CCCCCCOC1C(C(C(C(O1)CO)O)O)O,37.64668101285885
CCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,54.065311
CCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,54.2173462741391
CCC(C)CCOCCOCCOCCO,24.689867
CCC(C)CC1=CC=C(C=C1)OCCO,30.259426
CCC(C)CCOC1C(C(C(C(O1)CO)O)O)O,38.50321915628602
CCC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,50.083675
CCC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,54.037894706289315
CCC(C)(C)CCOCCOCCOCCO,26.744776
CCC(C)(C)CC1=CC=C(C=C1)OCCO,28.638337886454377
CCC(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,42.974742
CCC(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,58.787127
CCC(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,49.577067
CCCCCCCOCCOCCOCCO,25.059271
CCCCCCC1=CC=C(C=C1)OCCO,24.727557
CCCCCCCOC1C(C(C(C(O1)CO)O)O)O,42.395743
CCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,52.089907
CCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,55.63450689750354
CCC(C)CCCOCCOCCOCCO,21.92933
CCC(C)CCC1=CC=C(C=C1)OCCO,27.441629
CCC(C)CCCOC1C(C(C(C(O1)CO)O)O)O,40.19232103532423
CCC(C)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,44.815832
CCC(C)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,50.914882
CCCC(C)CCOCCOCCOCCO,29.063565
CCCC(C)CC1=CC=C(C=C1)OCCO,26.953701
CCCC(C)CCOC1C(C(C(C(O1)CO)O)O)O,35.01978856675294
CCCC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,55.699875
CCCC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,48.362357
CC(C)C(C)CCOCCOCCOCCO,32.147145
CC(C)C(C)CC1=CC=C(C=C1)OCCO,27.993326464538953
CC(C)C(C)CCOC1C(C(C(C(O1)CO)O)O)O,37.173377
CC(C)C(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,52.676865
CC(C)C(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,49.366896
CCC(C)(C)CCCOCCOCCOCCO,27.820325
