model,n_mild_or_above,n_moderate_or_above,n_strong,max_abs_robust_z,median_abs_robust_z
rf,41,35,26,2.6459611434240324,0.6744907594765952
huber,42,33,27,3.1719655766272674,0.6744907594765952
final,39,29,24,2.725596255867379,0.6744907594765952
