SMILES,PMF,GGI10,ATSC7d,MATS1s,Xc-5d,AATS4d,GATS1dv,AATSC7s,BCUTs-1l,GATS2s,BCUTc-1l
CC(C)(C)CCOCCOCCOCCO,27.350392,0.04958677685950413,0.6666666666666673,-0.11537822279318392,0.0,1.5945945945945945,0.8756236635780468,0.09955295524006705,1.172845360507909,1.1942717755950054,-0.416268006807835
CC(C)(C)CC1=CC=C(C=C1)OCCO,24.662165,0.0,-3.714285714285714,-0.15244781106137695,0.0,1.91,0.751637554585153,0.07871072238419177,1.1735733195703437,0.8965653843163534,-0.5221233846576181
CC(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,43.576682,0.0,-7.4693877551020424,-0.2154230027501864,0.4146723119520975,1.826086956521739,0.8240903755868545,-0.21677986511427416,1.1540133827103805,0.9437706827597548,-0.39454609431649823
CC(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,50.347666,0.136312621161106,-18.61929957168052,-0.22628151922872375,0.768617269803962,2.219047619047619,0.8110937864304033,-0.06441902030526368,1.1531135238464567,0.9768942647499625,-0.39545934244878356
CC(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,56.27034091086914,0.23834710743801651,-4.722318339100346,-0.11550019045469291,0.1916383190435099,2.3169398907103824,0.7295949521677182,-0.0127693198005698,1.1595849118230757,0.9600430308921766,-0.49314307177916605
CCCCCCOCCOCCOCCO,27.367574,0.01652892561983471,-1.3333333333333333,-0.06400573185658415,0.0,1.8333333333333333,0.8697761194029849,-0.009826152683295534,1.3255122553567924,1.244520228048702,-0.41628947065755373
CCCCCC1=CC=C(C=C1)OCCO,33.052967,0.01652892561983471,-3.5714285714285707,-0.08486643800020789,0.0,2.1232876712328768,0.738274464389114,-0.11299967606090054,1.3302327101846203,0.9530940382429564,-0.5221231195817255
CCCCCCOC1C(C(C(C(O1)CO)O)O)O,37.64668101285885,0.0454035302520151,-1.571428571428573,-0.1857536347114948,0.4146723119520975,2.045045045045045,0.818251066422913,-0.28123640028401925,1.1540136207235878,0.9585306504036629,-0.39457407911485065
CCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,54.065311,0.11560044893378227,-12.183169564121942,-0.2073189930444249,0.768617269803962,2.4098360655737703,0.8075418703063535,-0.08162049333607964,1.1531137745752424,0.984520842504156,-0.39547957544044077
CCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,54.2173462741391,0.15570247933884296,-8.238754325259515,-0.09478811754684842,0.1916383190435099,2.532051282051282,0.7241737684473081,-0.13596404195243347,1.1595849118230461,0.9718717466401668,-0.4931751414573719
CCC(C)CCOCCOCCOCCO,24.689867,0.03305785123966942,-0.6666666666666664,-0.08453156316747351,0.0,1.7311827956989247,0.8640705363703156,0.045372469975644564,1.2343356493360633,1.2347803584998118,-0.41627780753113425
CCC(C)CC1=CC=C(C=C1)OCCO,30.259426,0.01652892561983471,-3.163265306122449,-0.11200638418369979,0.0,2.048780487804878,0.7332576617480135,-0.025260334903192034,1.2357983915870938,0.9447063923217075,-0.5221231778087809
CCC(C)CCOC1C(C(C(C(O1)CO)O)O)O,38.50321915628602,0.0,-5.428571428571428,-0.1978900799727752,0.4146723119520975,1.9583333333333333,0.8140794223826717,-0.24829931972789113,1.1540135825708218,0.9572802275711921,-0.3945595380368692
CCC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,50.083675,0.10325476992143659,-16.611740992693374,-0.21515304973727967,0.768617269803962,2.3385416666666665,0.8051330306436345,-0.07127225444744877,1.1531137355123993,0.984210784611649,-0.3954686016607714
CCC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,54.03789470628932,0.1887603305785124,-6.772491349480967,-0.10325256204059392,0.1916383190435099,2.4484848484848483,0.7225490196078431,-0.04064637837705886,1.1595849118233692,0.9707388411746875,-0.49315884019381323
CCC(C)(C)CCOCCOCCOCCO,26.744776,0.04958677685950413,2.4671622769447934e-17,-0.10342473546478548,0.0,1.6083333333333334,0.869883040935672,0.06968749999999996,1.1591296245772156,1.1987545407368965,-0.41626742885408685
CCC(C)(C)CC1=CC=C(C=C1)OCCO,28.638337886454377,0.01652892561983471,-3.554016620498615,-0.1336722712891788,0.0,1.8990825688073394,0.7461127308066084,0.028129005015414574,1.1597212399966954,0.9062616422738169,-0.522124087898024
CCC(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,42.974742,0.0,-7.135308641975311,-0.20202503609719122,0.4146723119520975,1.8231292517006803,0.8159018143009609,-0.2097204676683575,1.1540124451349145,0.939105648335422,-0.394547607795628
CCC(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,58.787127,0.136312621161106,-18.62350780532599,-0.21641871464545878,0.768617269803962,2.2009132420091326,0.8033420069627858,-0.056286117677961656,1.1531128994071034,0.9715383454865479,-0.39545934531627397
