SMILES,PMF,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
CCC(C)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,44.815832,-5.12,-2.8,-0.29,-2.88,-1.13,-2.48,-2.16,-1.32,-0.73,-0.69,-1.99,-0.75,-0.72,0.07
CCC(C)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,50.914882,2.86,-5.01,7.42,-1.54,-1.63,2.12,-0.44,0.44,-1.98,0.6,-1.58,0.49,-0.88,0.29
CCCC(C)CCOCCOCCOCCO,29.063565,8.2,0.24,-5.83,-1.6,0.45,-1.05,-0.86,0.8,-0.81,-0.5,1.05,0.34,-0.14,-0.35
CCCC(C)CC1=CC=C(C=C1)OCCO,26.953701,-1.48,-3.95,-1.58,7.52,1.19,-0.62,0.93,1.97,-1.23,-0.33,-0.41,-1.65,1.01,-0.06
CCCC(C)CCOC1C(C(C(C(O1)CO)O)O)O,35.01978856675294,-3.98,-1.5,-4.46,-1.96,0.27,4.67,-0.06,-0.03,0.22,-0.97,0.93,1.48,-0.25,0.25
CCCC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,55.699875,-5.96,-3.48,-0.93,-3.6,-0.08,-3.09,-1.52,0.15,-0.17,-0.95,-0.67,0.86,0.44,-0.08
CCCC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,48.362357,3.62,-5.96,5.13,-2.8,1.59,0.85,1.76,0.04,-0.59,-1.07,0.01,0.44,1.7,-0.25
CC(C)C(C)CCOCCOCCOCCO,32.147145,8.75,4.57,-1.54,-0.9,-2.5,-0.47,-2.99,1.05,-1.52,-3.44,-2.45,-1.26,-0.1,0.45
CC(C)C(C)CC1=CC=C(C=C1)OCCO,27.993326464538956,-0.73,0.91,1.77,8.78,2.36,0.5,-3.56,-2.06,-1.69,-3.41,-0.18,1.28,-1.36,0.42
CC(C)C(C)CCOC1C(C(C(C(O1)CO)O)O)O,37.173377,-4.37,3.06,-1.81,-1.09,-1.08,5.44,-2.64,2.46,-2.14,-1.7,-1.44,-1.82,1.08,-0.34
CC(C)C(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,52.676865,-6.61,0.68,1.34,-3.04,-0.94,-2.1,-3.58,1.6,-1.83,-2.27,-0.62,-0.49,-0.93,0.25
CC(C)C(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,49.366896,4.41,-0.97,8.82,-1.19,1.35,2.03,-2.49,-0.14,-1.72,-2.17,0.26,-1.76,-2.23,0.29
CCC(C)(C)CCCOCCOCCOCCO,27.820325,6.33,4.66,-1.48,-0.96,-4.48,-0.41,2.1,2.51,1.08,1.63,-1.79,0.75,-2.6,0.53
CCC(C)(C)CCC1=CC=C(C=C1)OCCO,26.05298590237728,0.01,2.25,4.92,9.02,-3.14,0.03,-0.59,-0.65,5.32,-1.0,-1.88,2.28,-0.5,-0.69
CCC(C)(C)CCCOC1C(C(C(C(O1)CO)O)O)O,37.147735,-3.59,4.23,-2.59,-0.73,-0.92,4.53,2.26,-2.15,1.08,1.23,-1.22,-1.76,-1.52,-0.43
CCC(C)(C)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,52.39373,-6.17,1.79,0.7,-3.04,-0.96,-3.5,0.82,-1.14,1.1,1.16,-1.59,-1.64,-1.28,-0.86
CCC(C)(C)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,55.980832,2.27,-0.33,10.09,-1.09,-2.13,2.3,1.05,0.54,-0.09,2.93,-1.94,-0.1,-3.26,-0.19
CCCC(C)(C)CCOCCOCCOCCO,26.788854,8.3,4.86,-4.94,-1.97,2.47,-1.8,2.95,-0.69,1.21,0.13,0.21,1.35,0.43,-1.11
CCCC(C)(C)CC1=CC=C(C=C1)OCCO,19.20771,-1.98,0.62,-2.68,6.97,5.67,-2.07,5.45,1.28,-0.78,1.56,-1.28,-0.94,0.78,-0.75
CCCC(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,35.125061,-6.05,2.23,-4.46,-2.81,1.39,3.06,3.66,2.15,1.55,0.7,1.52,2.04,0.07,-0.68
CCCC(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,47.006721,-7.69,0.36,-0.6,-4.69,0.99,-4.6,2.0,1.84,1.79,0.05,0.42,1.23,0.37,-1.07
CCCC(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,55.43051705922919,3.44,-2.47,5.66,-3.33,4.25,-0.02,5.04,0.4,2.41,-1.31,1.41,-0.42,1.52,-1.62
CCCCCCCCOCCOCCOCCO,29.253257,9.03,-2.94,-6.63,-0.66,-1.32,-2.23,-2.41,1.11,1.28,2.98,2.76,-0.65,0.06,0.36
CCCCCCCC1=CC=C(C=C1)OCCO,18.874375,-0.12,-6.09,-1.79,8.0,-2.2,-1.18,-1.03,0.86,2.13,2.1,2.38,-2.16,0.75,0.17
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,34.617369,0.19,-3.67,-4.16,-0.92,-0.36,3.52,-0.88,-4.56,3.27,1.06,1.19,-0.18,-0.01,1.2
CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,45.377024,-3.03,-5.83,-0.96,-2.96,-0.56,-4.12,-1.78,-3.73,1.81,1.61,-0.7,-0.46,0.66,1.11
CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,58.47332637327619,3.71,-7.96,4.05,-2.51,0.21,-0.72,1.0,-1.4,-0.92,3.31,0.27,1.08,3.6,1.23
CC(C)C(C)(C)CCOCCOCCOCCO,36.826085,8.59,10.11,0.53,-0.67,-2.25,-1.26,-1.74,-1.59,-0.73,-1.66,-2.05,0.25,1.4,-0.36
CC(C)C(C)(C)CC1=CC=C(C=C1)OCCO,19.549081,-1.73,6.34,1.78,8.9,4.54,-0.8,-1.22,-3.68,-2.5,-0.38,0.1,2.27,-0.28,-0.35
CC(C)C(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,41.61389532251786,-6.61,7.91,-0.46,-1.4,-1.8,4.01,-1.44,3.37,-1.84,1.0,0.19,-0.67,2.17,-1.26
CC(C)C(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,53.5269609539894,-8.47,5.78,2.78,-3.56,-1.69,-3.4,-2.43,2.13,-0.99,-0.27,1.47,0.38,-0.37,-0.7
CC(C)C(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,53.449397,4.03,3.72,10.42,-1.22,2.15,1.35,-1.37,-0.92,0.12,-1.45,2.66,-2.06,-1.59,-1.05
CCC(CC)CCCOCCOCCOCCO,31.127022,5.53,-1.39,-5.76,-1.03,-4.05,-0.67,0.99,1.98,-2.38,0.71,2.38,1.16,-1.39,-0.04
CCC(CC)CCC1=CC=C(C=C1)OCCO,24.083592,-0.85,-4.05,1.35,8.42,-6.84,-0.35,0.57,2.3,1.55,-2.09,-0.15,-0.84,1.81,-0.49
CCC(CC)CCCOC1C(C(C(C(O1)CO)O)O)O,41.35434861349077,-3.17,-1.74,-5.27,-1.07,-1.88,4.38,1.66,-4.26,-0.89,-1.14,1.3,0.28,-0.98,0.1
CCC(CC)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,52.6218019388636,-5.48,-3.58,-1.92,-3.08,-2.1,-3.85,-0.15,-2.73,-1.39,-0.71,-0.6,-0.15,0.06,-0.37
CCC(CC)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,60.013159,1.43,-6.39,6.44,-2.32,-3.72,1.73,2.34,0.62,-2.95,0.84,-0.92,2.04,0.67,0.08
CCCC(C)CCCOCCOCCOCCO,30.680789,7.86,-0.44,-5.54,-0.94,-2.12,-1.55,0.68,1.7,-0.62,-0.24,0.01,-1.29,-0.18,0.29
CCCC(C)CCC1=CC=C(C=C1)OCCO,19.448487,-1.29,-3.9,-0.75,8.11,-2.41,-0.78,0.25,1.46,0.99,-1.0,1.61,-0.18,-0.88,0.61
CCCC(C)CCCOC1C(C(C(C(O1)CO)O)O)O,39.209574588933,-1.25,-1.1,-4.92,-1.05,-0.13,3.75,1.61,-3.39,0.47,-1.57,-0.66,-2.18,0.68,0.29
CCCC(C)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,48.963266,-4.29,-3.32,-1.72,-3.15,-0.44,-3.84,0.13,-2.44,-0.26,-1.12,-1.07,-1.24,-0.36,0.52
CCCC(C)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,56.205515840420425,2.65,-5.2,4.92,-2.12,-0.18,0.61,1.24,0.2,-2.63,1.32,-0.5,0.35,0.25,0.57
CCCCC(C)CCOCCOCCOCCO,28.408679,9.37,0.55,-6.13,-0.77,2.24,-1.92,-2.24,-1.59,-0.56,0.42,1.82,0.26,0.71,-1.36
CCCCC(C)CC1=CC=C(C=C1)OCCO,23.567165,-1.62,-3.64,-3.47,7.92,3.56,-1.56,-0.7,0.18,-2.06,1.86,3.09,-0.18,-1.08,-0.27
CCCCC(C)CCOC1C(C(C(C(O1)CO)O)O)O,40.91260831778943,-1.83,-0.96,-4.86,-1.11,2.18,3.19,-1.19,-2.86,0.79,-0.43,1.88,0.7,0.85,-0.82
CCCCC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,57.726196,-4.57,-2.99,-1.52,-2.89,1.39,-4.0,-2.25,-2.3,0.3,-0.38,1.11,0.87,-0.06,-0.35
CCCCC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,56.762617,3.84,-5.24,3.5,-2.49,3.67,-0.21,0.57,-1.41,-1.25,0.62,1.89,0.96,2.03,-0.65
CC(C)CC(C)CCOCCOCCOCCO,30.33756,6.27,0.93,-7.14,-2.23,2.67,-1.11,2.79,1.97,-2.2,-2.96,1.52,1.48,-1.19,1.21
CC(C)CC(C)CC1=CC=C(C=C1)OCCO,27.956171,-2.18,-2.63,-1.84,6.77,0.95,-1.21,4.9,4.86,-0.91,-3.93,-1.84,-2.18,0.8,1.86
CC(C)CC(C)CCOC1C(C(C(C(O1)CO)O)O)O,37.97633816093292,-4.6,-0.44,-5.69,-2.51,2.44,3.83,3.3,0.61,-0.18,-4.15,2.16,1.96,-1.32,1.6
CC(C)CC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,52.46953557440423,-6.5,-2.24,-1.93,-4.34,1.89,-4.23,1.45,1.28,-0.37,-3.99,0.2,1.07,-0.27,0.96
CC(C)CC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,51.806881,1.91,-5.3,4.82,-3.99,2.41,0.78,5.52,2.72,-1.18,-3.67,0.03,1.56,1.6,0.86
CCC(C)C(C)CCOCCOCCOCCO,31.317841,7.05,2.7,-3.75,-0.73,-3.37,-0.87,-0.26,0.06,-3.05,-2.5,0.59,0.43,-0.3,-0.37
CCC(C)C(C)CC1=CC=C(C=C1)OCCO,25.881792,-1.21,-0.65,0.6,8.65,-1.74,-0.64,-0.27,-0.4,-1.86,-3.33,0.12,0.04,1.06,-0.8
CCC(C)C(C)CCOC1C(C(C(C(O1)CO)O)O)O,32.572618,-4.78,1.65,-3.93,-1.03,-2.04,4.18,0.18,-0.23,-2.64,-2.14,1.45,0.18,0.13,-0.79
CCC(C)C(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,57.555276,-6.85,-0.39,-0.47,-3.07,-2.2,-3.73,-1.26,0.06,-2.51,-2.19,0.2,0.02,0.49,-1.06
CCC(C)C(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,56.99303219982716,3.1,-2.79,7.45,-1.67,-1.22,1.38,0.66,-0.06,-2.71,-1.69,0.24,-0.04,-0.02,-0.84
CC(C)(C)C(C)(C)CCOCCOCCOCCO,32.32087149774486,7.1,14.72,3.35,-0.35,-4.69,-1.74,0.24,-2.35,-0.35,0.31,-1.49,0.02,2.72,3.1
CC(C)(C)C(C)(C)CC1=CC=C(C=C1)OCCO,33.887207,-2.01,11.65,5.06,9.5,2.51,-1.21,-0.68,-5.67,-0.21,0.46,1.33,3.49,1.16,2.56
CC(C)(C)C(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,43.91674910448834,-7.96,13.17,0.95,-1.12,-3.04,2.7,0.17,2.29,-1.84,2.73,1.74,-2.18,3.6,1.29
CC(C)(C)C(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,56.303569,-9.88,11.03,4.12,-3.68,-2.86,-4.68,-0.96,1.4,-0.73,1.4,3.51,-0.98,0.82,1.63
CC(C)(C)C(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,62.41162921608246,2.86,9.03,13.6,-0.74,0.28,1.35,-1.34,-1.64,0.41,0.83,4.01,-3.16,-2.11,1.7
CCC(C)(CC)CCCOCCOCCOCCO,29.126092,4.71,3.4,-3.02,-0.54,-6.43,-0.95,3.78,1.07,-1.08,2.47,1.1,2.3,-1.4,-0.22
CCC(C)(CC)CCC1=CC=C(C=C1)OCCO,30.141789,-0.78,1.51,3.68,9.17,-7.56,-0.99,1.84,-0.13,3.72,-0.71,-0.41,1.69,1.59,-1.48
CCC(C)(CC)CCCOC1C(C(C(C(O1)CO)O)O)O,43.1763922217051,-4.11,3.32,-4.17,-0.45,-3.07,3.35,4.0,-4.66,-0.37,1.17,1.13,-0.32,-0.75,-0.99
CCC(C)(CC)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,57.44344112499586,-6.55,1.33,-0.86,-2.87,-3.22,-4.96,2.16,-3.17,-0.41,1.29,-0.08,-0.59,-0.15,-1.5
CCC(C)(CC)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,66.895624,0.69,-1.45,9.16,-1.52,-5.44,1.8,3.24,0.04,-1.82,3.25,-1.01,1.76,-1.32,-0.66
CCCC(C)(C)CCCOCCOCCOCCO,35.835371,6.98,3.42,-3.91,-1.12,-2.73,-1.87,5.56,1.86,1.41,0.71,-1.8,-0.76,-0.84,0.59
CCCC(C)(C)CCC1=CC=C(C=C1)OCCO,27.925591,-0.97,0.66,0.54,8.1,-1.63,-1.47,4.02,0.25,4.18,-0.77,0.42,1.47,-1.5,0.4
CCCC(C)(C)CCCOC1C(C(C(C(O1)CO)O)O)O,39.798713,-2.37,2.8,-4.92,-1.24,0.31,2.54,6.15,-3.06,1.75,-0.23,-1.55,-3.34,0.47,-0.23
CCCC(C)(C)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,57.951147580243386,-5.41,0.48,-1.61,-3.65,0.09,-5.18,4.51,-1.96,1.61,-0.08,-1.12,-2.33,-0.85,-0.16
CCCC(C)(C)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,58.731395,1.97,-1.26,6.66,-1.97,-0.29,0.46,4.14,0.61,-0.63,2.75,-1.2,-0.53,-2.17,0.27
